SNtype	Galtype	mag_g	bar
Ib        	 Sbc      	15.01     	          
Ia        	 S        	17.61     	B         
II        	 Sbc      	11.90     	B         
Ia        	 Sb       	17.80     	          
Ia        	 S        	18.74     	          
II        	 Sb       	12.84     	          
Ia        	 S        	17.48     	          
Ia        	 S        	17.51     	          
II        	 Sc       	14.11     	          
Ia        	 S        	17.47     	          
Ia        	 S0/a     	17.28     	          
Ia        	 S        	19.90     	          
II        	 Sb       	15.28     	          
II        	 Sc       	17.22     	          
Ia        	 Sb       	12.89     	          
Ic        	 S        	17.05     	          
II        	 Sb       	12.54     	B         
Ia        	 E/S0 pec 	12.46     	          
II        	 Sdm      	13.75     	B         
Ic        	 Sa       	12.00     	          
Ia        	 Sab      	14.87     	          
Ia        	 S        	19.30     	          
Ia        	 Sa       	17.20     	          
Ia        	 S        	16.81     	          
Ia        	 S        	19.63     	          
Ia        	 Sb       	17.43     	          
Ia        	 S        	19.30     	          
II        	 S        	19.72     	          
II        	 S        	18.70     	          
Ia        	 S        	18.64     	          
Ia        	 Sc       	18.39     	          
Ia        	 Sbc      	14.44     	          
Ia        	 Sc       	14.30     	B         
Ia        	 Sdm      	14.58     	          
II        	 Sab      	13.07     	          
Ia        	 S0/a pec 	13.94     	B         
Ic        	 Scd      	14.74     	B         
II        	 Sbc      	13.81     	          
